1625747529471- 结果：0.768144(D).jpg-0.79.jpg
1625751138540- 结果：0.624842(T).jpg-0.56.jpg
1625751143009- 结果：0.835062(T).jpg-0.89.jpg
1625751176559- 结果：0.68151(T).jpg-0.88.jpg
1625751245288- 结果：0.618412(T).jpg-0.9.jpg
1625751502057- 结果：0.84733(T).jpg-0.69.jpg
1625751502109- 结果：0.84733(T).jpg-0.71.jpg
1625751502161- 结果：0.828242(T).jpg-0.67.jpg
1625751513793- 结果：0.628751(D).jpg-0.66.jpg
1625751513844- 结果：0.595801(T).jpg-0.54.jpg
1625751513892- 结果：0.386566(T).jpg-0.79.jpg
1625751513942- 结果：0.872486(T).jpg-0.79.jpg
1625751513992- 结果：0.872486(T).jpg-0.91.jpg
1625751515161- 结果：0.686032(D).jpg-0.41.jpg
1625751515222- 结果：0.661133(T).jpg-0.41.jpg
1625751515461- 结果：0.661133(D).jpg-0.36.jpg
1625751516138- 结果：0.96795(D).jpg-0.25.jpg
1625751516198- 结果：0.470585(T).jpg-0.17.jpg
1625751516255- 结果：0.470585(T).jpg-0.32.jpg
1625751516308- 结果：0.314346(T).jpg-0.21.jpg
1625751516361- 结果：0.327135(T).jpg-0.29.jpg
1625751516857- 结果：0.285104(D).jpg-0.18.jpg
1625751518343- 结果：0.536583(D).jpg-0.19.jpg
1625751518400- 结果：0.430151(T).jpg-0.22.jpg
1625751518453- 结果：0.601256(T).jpg-0.5.jpg
1625751518506- 结果：0.601256(T).jpg-0.26.jpg
1625751636903- 结果：0.565491(T).jpg-0.52.jpg
1625751637336- 结果：0.5599(D).jpg-0.49.jpg
1625751637391- 结果：0.556409(T).jpg-0.51.jpg
1625751637672- 结果：0.57668(D).jpg-0.55.jpg
1625751637728- 结果：0.506489(T).jpg-0.56.jpg
1625751637780- 结果：0.516085(T).jpg-0.56.jpg
1625751638063- 结果：0.546288(D).jpg-0.05.jpg
1625751645713- 结果：0.353971(D).jpg-0.5.jpg
1625751645768- 结果：0.2218(T).jpg-0.5.jpg
1625751645820- 结果：0.181181(T).jpg-0.57.jpg
1625751645872- 结果：0.181181(T).jpg-0.37.jpg
1625751645924- 结果：0.153458(T).jpg-0.46.jpg
1625751649650- 结果：0.285386(D).jpg-0.59.jpg
1625751649899- 结果：0.378184(D).jpg-0.56.jpg
1625751650272- 结果：0.221191(D).jpg-0.55.jpg
1625751650333- 结果：0.262518(T).jpg-0.49.jpg
1625752035755- 结果：0.991004(T).jpg-0.89.jpg
1625752050046- 结果：0.882937(D).jpg-0.73.jpg
1625752050109- 结果：0.721458(T).jpg-0.69.jpg
1625752050164- 结果：0.550667(T).jpg-0.69.jpg
1625752050217- 结果：0.840997(T).jpg-0.62.jpg
1625752050271- 结果：0.840997(T).jpg-0.69.jpg
1625752063144- 结果：0.820067(D).jpg-0.72.jpg
1625752063197- 结果：0.821497(T).jpg-0.69.jpg
1625752063250- 结果：0.821497(T).jpg-0.73.jpg
1625752063302- 结果：0.832417(T).jpg-0.73.jpg
1625752063360- 结果：0.889427(T).jpg-0.73.jpg
1625752076865- 结果：0.733684(D).jpg-0.52.jpg
1625752076924- 结果：0.95402(T).jpg-0.56.jpg
1625752076974- 结果：0.986067(T).jpg-0.58.jpg
1625750168407- 结果：0.391288(T).jpg-0.25.jpg
1625750168456- 结果：0.327332(T).jpg-0.01.jpg
1625750168507- 结果：0.327332(T).jpg-0.0.jpg
1625750168558- 结果：0.325429(T).jpg-0.0.jpg
1625750180134- 结果：0.965809(D).jpg-0.38.jpg
1625750180183- 结果：0.969152(T).jpg-0.33.jpg
1625750180232- 结果：0.969152(T).jpg-0.31.jpg
1625750180280- 结果：0.972908(T).jpg-0.31.jpg
1625750180328- 结果：0.969158(T).jpg-0.4.jpg
1625750204934- 结果：0.381647(D).jpg-0.57.jpg
1625750204988- 结果：0.20668(T).jpg-0.56.jpg
1625750205039- 结果：0.209551(T).jpg-0.57.jpg
1625750205091- 结果：0.209551(T).jpg-0.69.jpg
1625750205142- 结果：0.126938(T).jpg-0.84.jpg
1625750215731- 结果：0.069446(D).jpg-0.21.jpg
1625751530837- 结果：0.491942(T).jpg-0.52.jpg
1625751531245- 结果：0.337135(D).jpg-0.54.jpg
1625751531300- 结果：0.356367(T).jpg-0.51.jpg
1625751531706- 结果：0.324266(D).jpg-0.49.jpg
1625751532246- 结果：0.27617(D).jpg-0.59.jpg
1625751532519- 结果：0.304601(D).jpg-0.49.jpg
1625751532802- 结果：0.386149(D).jpg-0.05.jpg
1625751540411- 结果：0.997299(T).jpg-1.0.jpg
1625751540466- 结果：0.717702(D).jpg-1.0.jpg
1625751540516- 结果：0.99899(T).jpg-1.0.jpg
1625751540568- 结果：0.99929(T).jpg-1.0.jpg
1625751540619- 结果：0.999401(T).jpg-1.0.jpg
1625751540670- 结果：0.998979(T).jpg-1.0.jpg
1625751553475- 结果：0.186387(D).jpg-0.24.jpg
1625751553530- 结果：0.058517(T).jpg-0.24.jpg
1625751553581- 结果：0.030258(T).jpg-0.13.jpg
1625752324925- 结果：0.010158(D).jpg-0.0.jpg
1625752324982- 结果：0.004432(T).jpg-0.0.jpg
1625752325036- 结果：0.004432(T).jpg-0.0.jpg
1625752325092- 结果：0.004989(T).jpg-0.02.jpg
1625752325146- 结果：0.008617(T).jpg-0.01.jpg
1625752338663- 结果：0.004137(D).jpg-0.27.jpg
1625752338718- 结果：0.005651(T).jpg-0.33.jpg
1625752338771- 结果：0.005651(T).jpg-0.38.jpg
1625752338822- 结果：0.003841(T).jpg-0.14.jpg
1625752338879- 结果：0.003322(T).jpg-0.09.jpg
1625752352609- 结果：0.877746(D).jpg-0.99.jpg
1625752352665- 结果：0.996149(T).jpg-0.99.jpg
1625752352717- 结果：0.986812(T).jpg-0.98.jpg
1625752352771- 结果：0.986812(T).jpg-0.99.jpg
1625752352823- 结果：0.996108(T).jpg-0.98.jpg
1625752366116- 结果：0.057617(D).jpg-0.0.jpg
1625752366168- 结果：0.012687(T).jpg-0.0.jpg
1625752366219- 结果：0.012687(T).jpg-0.0.jpg
1625752366270- 结果：0.016974(T).jpg-0.0.jpg
1625752366323- 结果：0.001934(T).jpg-0.0.jpg
1625752380846- 结果：0.919021(D).jpg-0.49.jpg
1625752380907- 结果：0.52965(T).jpg-0.54.jpg
1625752380960- 结果：0.52965(T).jpg-0.49.jpg
1625752381013- 结果：0.582768(T).jpg-0.47.jpg
1625752381064- 结果：0.558767(T).jpg-0.44.jpg
1625753013879- 结果：0.829138(T).jpg-0.01.jpg
1625753013930- 结果：0.829138(T).jpg-0.01.jpg
1625753013981- 结果：0.85487(T).jpg-0.04.jpg
1625753014033- 结果：0.817157(T).jpg-0.04.jpg
1625753028944- 结果：0.917922(D).jpg-0.24.jpg
1625753030471- 结果：0.085716(D).jpg-0.4.jpg
1625753030526- 结果：0.221441(T).jpg-0.27.jpg
1625753030580- 结果：0.195785(T).jpg-0.42.jpg
1625753030634- 结果：0.245621(T).jpg-0.34.jpg
1625753030922- 结果：0.107175(D).jpg-0.35.jpg
1625753030982- 结果：0.128953(T).jpg-0.42.jpg
1625753031036- 结果：0.087073(T).jpg-0.35.jpg
1625753031091- 结果：0.127893(T).jpg-0.35.jpg
1625751138592- 结果：0.670883(T).jpg-0.52.jpg
1625751139814- 结果：0.844862(D).jpg-0.92.jpg
1625751139870- 结果：0.71037(T).jpg-0.81.jpg
1625751139923- 结果：0.818904(T).jpg-0.72.jpg
1625751139976- 结果：0.818904(T).jpg-0.74.jpg
1625751140243- 结果：0.336198(D).jpg-0.75.jpg
1625751140297- 结果：0.658665(T).jpg-0.61.jpg
1625751140348- 结果：0.232677(T).jpg-0.62.jpg
1625751140400- 结果：0.428987(T).jpg-0.62.jpg
1625751140451- 结果：0.428987(T).jpg-0.9.jpg
1625751142397- 结果：0.432607(D).jpg-0.5.jpg
1625751142454- 结果：0.431565(T).jpg-0.67.jpg
1625751142507- 结果：0.431565(T).jpg-0.66.jpg
1625751142560- 结果：0.452983(T).jpg-0.53.jpg
1625751142841- 结果：0.560283(D).jpg-0.47.jpg
1625751142901- 结果：0.407894(T).jpg-0.8.jpg
1625751142955- 结果：0.939055(T).jpg-0.89.jpg
1625750403699- 结果：0.321847(T).jpg-0.6.jpg
1625750415056- 结果：0.496253(D).jpg-0.94.jpg
1625750415110- 结果：0.970376(T).jpg-0.98.jpg
1625750415162- 结果：0.970376(T).jpg-0.97.jpg
1625750415215- 结果：0.959926(T).jpg-0.98.jpg
1625750415268- 结果：0.92805(T).jpg-0.86.jpg
1625750427516- 结果：0.537371(D).jpg-0.69.jpg
1625750427569- 结果：0.875173(T).jpg-0.85.jpg
1625750427619- 结果：0.875173(T).jpg-0.93.jpg
1625750427674- 结果：0.886926(T).jpg-0.95.jpg
1625750427724- 结果：0.917757(T).jpg-0.95.jpg
1625750439367- 结果：0.066047(D).jpg-0.45.jpg
1625750439424- 结果：0.397226(T).jpg-0.71.jpg
1625750439477- 结果：0.53211(T).jpg-0.61.jpg
1625750803528- 结果：0.0000000(T).jpg-0.97.jpg
1625750813689- 结果：0.797246(D).jpg-0.75.jpg
1625750813746- 结果：0.904629(T).jpg-0.73.jpg
1625750813797- 结果：0.902643(T).jpg-0.81.jpg
1625750813848- 结果：0.90498(T).jpg-0.81.jpg
1625750813905- 结果：0.924955(T).jpg-0.66.jpg
1625750826691- 结果：0.816623(D).jpg-0.81.jpg
1625750826748- 结果：0.729152(T).jpg-0.83.jpg
1625750826802- 结果：0.82204(T).jpg-0.84.jpg
1625750826855- 结果：0.835282(T).jpg-0.84.jpg
1625750826917- 结果：0.881041(T).jpg-0.84.jpg
1625750837987- 结果：0.772465(D).jpg-0.58.jpg
1625750838040- 结果：0.154745(T).jpg-0.58.jpg
1625750838091- 结果：0.154745(T).jpg-0.45.jpg
1625751580317- 结果：0.810605(T).jpg-0.79.jpg
1625751592858- 结果：0.470174(D).jpg-0.65.jpg
1625751592913- 结果：0.884005(T).jpg-0.58.jpg
1625751592965- 结果：0.746014(T).jpg-0.5.jpg
1625751593018- 结果：0.746014(T).jpg-0.37.jpg
1625751593071- 结果：0.772816(T).jpg-0.3.jpg
1625751607781- 结果：0.976925(D).jpg-0.69.jpg
1625751607836- 结果：0.964477(T).jpg-0.74.jpg
1625751607890- 结果：0.964477(T).jpg-0.97.jpg
1625751607943- 结果：0.896889(T).jpg-0.89.jpg
1625751608000- 结果：0.937868(T).jpg-0.91.jpg
1625751618737- 结果：0.971444(D).jpg-0.88.jpg
1625751618794- 结果：0.862623(T).jpg-0.77.jpg
1625753236564- 结果：0.490954(T).jpg-0.52.jpg
1625753236624- 结果：0.561689(T).jpg-0.52.jpg
1625753251668- 结果：0.841262(D).jpg-0.96.jpg
1625753251725- 结果：0.980517(T).jpg-0.99.jpg
1625753251778- 结果：0.974988(T).jpg-0.97.jpg
1625753251831- 结果：0.954607(T).jpg-0.93.jpg
1625753251888- 结果：0.957782(T).jpg-0.95.jpg
1625753266775- 结果：0.335791(D).jpg-0.38.jpg
1625753266832- 结果：0.271286(T).jpg-0.57.jpg
1625753266888- 结果：0.4122(T).jpg-0.56.jpg
1625753266941- 结果：0.260123(T).jpg-0.56.jpg
1625753266996- 结果：0.397476(T).jpg-0.45.jpg
1625753281612- 结果：0.252075(D).jpg-0.87.jpg
1625753281664- 结果：0.841113(T).jpg-0.93.jpg
1625753281714- 结果：0.832296(T).jpg-0.95.jpg
1625753281766- 结果：0.832296(T).jpg-0.97.jpg
1625753885890- 结果：0.559831(T).jpg-0.47.jpg
1625753885943- 结果：0.610055(T).jpg-0.51.jpg
1625753885999- 结果：0.591523(T).jpg-0.48.jpg
1625753887429- 结果：0.590325(D).jpg-0.54.jpg
1625753887487- 结果：0.6173(T).jpg-0.6.jpg
1625753887540- 结果：0.625415(T).jpg-0.55.jpg
1625753887593- 结果：0.585225(T).jpg-0.55.jpg
1625753887645- 结果：0.59752(T).jpg-0.58.jpg
1625753897510- 结果：0.738963(D).jpg-0.98.jpg
1625753897567- 结果：0.926462(T).jpg-0.98.jpg
1625753897620- 结果：0.926462(T).jpg-0.97.jpg
1625753897679- 结果：0.960003(T).jpg-0.94.jpg
1625753897731- 结果：0.941235(T).jpg-0.99.jpg
1625753928989- 结果：0.962329(D).jpg-0.51.jpg
1625753929044- 结果：0.9888(T).jpg-0.58.jpg
1625753929096- 结果：0.982833(T).jpg-0.6.jpg
1625753929149- 结果：0.982833(T).jpg-0.68.jpg
1625753929201- 结果：0.980243(T).jpg-0.64.jpg
1625755190116- 结果：0.115133(T).jpg-0.07.jpg
1625755190170- 结果：0.141701(T).jpg-0.09.jpg
1625755190222- 结果：0.060988(T).jpg-0.09.jpg
1625755190273- 结果：0.045541(T).jpg-0.16.jpg
1625755206549- 结果：0.986073(D).jpg-0.74.jpg
1625755206604- 结果：0.640919(T).jpg-0.86.jpg
1625755206836- 结果：0.640919(D).jpg-0.98.jpg
1625755206891- 结果：0.896505(T).jpg-0.98.jpg
1625755206943- 结果：0.952324(T).jpg-0.98.jpg
1625755206994- 结果：0.947465(T).jpg-0.98.jpg
1625755207048- 结果：0.947465(T).jpg-0.99.jpg
1625755208822- 结果：0.883804(D).jpg-0.88.jpg
1625755208883- 结果：0.805617(T).jpg-0.97.jpg
1625755208938- 结果：0.867719(T).jpg-0.97.jpg
1625755208991- 结果：0.840529(T).jpg-0.95.jpg
1625755209043- 结果：0.840529(T).jpg-0.94.jpg
1625755210423- 结果：0.907265(D).jpg-0.94.jpg
1625755210484- 结果：0.952247(T).jpg-0.94.jpg
1625755210537- 结果：0.902104(T).jpg-0.94.jpg
1625755210592- 结果：0.888992(T).jpg-0.9.jpg
1625755210646- 结果：0.888992(T).jpg-0.95.jpg
1625755212279- 结果：0.888589(D).jpg-0.95.jpg
1625755212338- 结果：0.942815(T).jpg-0.95.jpg
1625755212392- 结果：0.931936(T).jpg-0.91.jpg
1625755212446- 结果：0.931936(T).jpg-0.93.jpg
1625756251694- 结果：0.424928(T).jpg-0.56.jpg
1625756251747- 结果：0.424928(T).jpg-0.7.jpg
1625756251806- 结果：0.426662(T).jpg-0.6.jpg
1625756269335- 结果：0.638917(D).jpg-0.04.jpg
1625756269396- 结果：0.130857(T).jpg-0.03.jpg
1625756269450- 结果：0.099911(T).jpg-0.08.jpg
1625756269503- 结果：0.226259(T).jpg-0.08.jpg
1625756269556- 结果：0.230109(T).jpg-0.07.jpg
1625756323249- 结果：0.473011(D).jpg-0.04.jpg
1625756323499- 结果：0.605166(D).jpg-0.02.jpg
1625756323555- 结果：0.538224(T).jpg-0.02.jpg
1625756323608- 结果：0.472469(T).jpg-0.02.jpg
1625756323660- 结果：0.472469(T).jpg-0.03.jpg
1625756323713- 结果：0.377867(T).jpg-0.03.jpg
1625756340763- 结果：0.989682(D).jpg-0.56.jpg
1625756340822- 结果：0.994472(T).jpg-0.56.jpg
1625756340875- 结果：0.992756(T).jpg-0.49.jpg
1625756340930- 结果：0.992756(T).jpg-0.52.jpg
1625756340983- 结果：0.99349(T).jpg-0.54.jpg
1625757548862- 结果：0.996855(T).jpg-0.98.jpg
1625757548917- 结果：0.996855(T).jpg-0.98.jpg
1625757548970- 结果：0.994416(T).jpg-0.97.jpg
1625757550004- 结果：0.993899(D).jpg-0.99.jpg
1625757550249- 结果：0.996284(D).jpg-0.99.jpg
1625757550307- 结果：0.998174(T).jpg-0.98.jpg
1625757550362- 结果：0.995369(T).jpg-0.99.jpg
1625757550418- 结果：0.994239(T).jpg-0.96.jpg
1625757550476- 结果：0.992594(T).jpg-0.96.jpg
1625757550897- 结果：0.994953(D).jpg-0.99.jpg
1625757550960- 结果：0.994529(T).jpg-0.99.jpg
1625757551015- 结果：0.992351(T).jpg-0.97.jpg
1625757551073- 结果：0.995276(T).jpg-0.97.jpg
1625757551128- 结果：0.993758(T).jpg-0.97.jpg
1625757551992- 结果：0.991541(D).jpg-0.96.jpg
1625757552054- 结果：0.994812(T).jpg-0.99.jpg
1625754426146- 结果：0.443994(T).jpg-0.01.jpg
1625754426200- 结果：0.400572(T).jpg-0.0.jpg
1625754426257- 结果：0.400572(T).jpg-0.0.jpg
1625754442151- 结果：0.951596(D).jpg-1.0.jpg
1625754442207- 结果：0.984803(T).jpg-1.0.jpg
1625754442264- 结果：0.987945(T).jpg-1.0.jpg
1625754442318- 结果：0.987945(T).jpg-1.0.jpg
1625754442372- 结果：0.986241(T).jpg-1.0.jpg
1625754457725- 结果：0.060452(D).jpg-0.12.jpg
1625754457779- 结果：0.058788(T).jpg-0.12.jpg
1625754457829- 结果：0.058788(T).jpg-0.04.jpg
1625754457888- 结果：0.05374(T).jpg-0.05.jpg
1625754457939- 结果：0.067661(T).jpg-0.05.jpg
1625754474571- 结果：0.129543(D).jpg-0.01.jpg
1625754474626- 结果：0.080703(T).jpg-0.02.jpg
1625754474679- 结果：0.102954(T).jpg-0.02.jpg
1625754474732- 结果：0.112091(T).jpg-0.02.jpg
1625754474784- 结果：0.066745(T).jpg-0.01.jpg
1625754492581- 结果：0.22917(D).jpg-0.61.jpg
1625754492638- 结果：0.297153(T).jpg-0.57.jpg
1625754492886- 结果：0.297153(D).jpg-0.64.jpg
1625754492939- 结果：0.257698(T).jpg-0.54.jpg
1625754492992- 结果：0.265418(T).jpg-0.54.jpg
1625754493043- 结果：0.296(T).jpg-0.66.jpg
1625754493095- 结果：0.296(T).jpg-0.54.jpg
1625757948482- 结果：0.060919(T).jpg-0.0.jpg
1625757966932- 结果：0.700016(D).jpg-0.48.jpg
1625757966984- 结果：0.632506(T).jpg-0.58.jpg
1625757967031- 结果：0.653221(T).jpg-0.67.jpg
1625757967081- 结果：0.653221(T).jpg-0.69.jpg
1625757967344- 结果：0.719939(D).jpg-0.77.jpg
1625757967399- 结果：0.633193(T).jpg-0.77.jpg
1625757967452- 结果：0.549694(T).jpg-0.63.jpg
1625757967506- 结果：0.549694(T).jpg-0.39.jpg
1625757967559- 结果：0.40781(T).jpg-0.58.jpg
1625757967957- 结果：0.379166(D).jpg-0.48.jpg
1625757968018- 结果：0.437676(T).jpg-0.41.jpg
1625757968301- 结果：0.336074(D).jpg-0.38.jpg
1625757968358- 结果：0.249095(T).jpg-0.54.jpg
1625757968619- 结果：0.308297(D).jpg-0.57.jpg
1625757968881- 结果：0.164566(D).jpg-0.39.jpg
1625757968937- 结果：0.440125(T).jpg-0.4.jpg
1625757968994- 结果：0.38098(T).jpg-0.4.jpg
1625757969048- 结果：0.339277(T).jpg-0.39.jpg
1625757969102- 结果：0.339277(T).jpg-0.23.jpg
1625757970015- 结果：0.297997(D).jpg-0.49.jpg
1625757970075- 结果：0.248791(T).jpg-0.56.jpg
1625757970130- 结果：0.241074(T).jpg-0.56.jpg
1625757970183- 结果：0.182471(T).jpg-0.44.jpg
1625757970238- 结果：0.182471(T).jpg-0.46.jpg
1625757971334- 结果：0.343796(D).jpg-0.4.jpg
1625753663742- 结果：0.937344(T).jpg-0.93.jpg
1625753678447- 结果：0.789848(D).jpg-0.88.jpg
1625753678503- 结果：0.816715(T).jpg-0.89.jpg
1625753678554- 结果：0.653897(T).jpg-0.84.jpg
1625753678603- 结果：0.537696(T).jpg-0.84.jpg
1625753678655- 结果：0.589462(T).jpg-0.79.jpg
1625753693943- 结果：0.905768(D).jpg-0.01.jpg
1625753694184- 结果：0.941543(T).jpg-0.0.jpg
1625753694238- 结果：0.951724(T).jpg-0.01.jpg
1625753694309- 结果：0.951724(T).jpg-0.01.jpg
1625753694375- 结果：0.93791(T).jpg-0.03.jpg
1625753709927- 结果：0.456848(D).jpg-0.66.jpg
1625753709985- 结果：0.965781(T).jpg-0.62.jpg
1625753710038- 结果：0.963845(T).jpg-0.65.jpg
1625753710090- 结果：0.963845(T).jpg-0.74.jpg
1625754736759- 结果：0.416804(D).jpg-0.87.jpg
1625754736814- 结果：0.499177(T).jpg-0.82.jpg
1625754736865- 结果：0.499177(T).jpg-0.8.jpg
1625754736915- 结果：0.500574(T).jpg-0.67.jpg
1625754736966- 结果：0.4007(T).jpg-0.67.jpg
1625754752615- 结果：0.818563(D).jpg-0.95.jpg
1625754752670- 结果：0.970553(T).jpg-0.99.jpg
1625754752724- 结果：0.981429(T).jpg-0.98.jpg
1625754752776- 结果：0.982879(T).jpg-0.99.jpg
1625754752829- 结果：0.988004(T).jpg-0.99.jpg
1625754768960- 结果：0.863232(D).jpg-0.2.jpg
1625754769017- 结果：0.420592(T).jpg-0.12.jpg
1625754769070- 结果：0.420592(T).jpg-0.08.jpg
1625752526790- 结果：0.28169(D).jpg-0.1.jpg
1625752551143- 结果：0.786254(T).jpg-0.34.jpg
1625752593933- 结果：0.970805(T).jpg-0.87.jpg
1625752636911- 结果：0.22008(T).jpg-0.01.jpg
1625752751595- 结果：0.142182(T).jpg-0.51.jpg
1625752838095- 结果：0.282934(D).jpg-0.45.jpg
1625752897109- 结果：0.960008(T).jpg-0.76.jpg
1625752955583- 结果：0.53758(D).jpg-0.03.jpg
1625753013827- 结果：0.787128(D).jpg-0.01.jpg
1625753031149- 结果：0.123673(T).jpg-0.31.jpg
1625753033359- 结果：0.180121(T).jpg-0.43.jpg
1625753062146- 结果：0.627014(D).jpg-0.7.jpg
1625753088004- 结果：0.008144(D).jpg-0.13.jpg
1625753117129- 结果：0.64147(D).jpg-0.18.jpg
1625753177221- 结果：0.600283(T).jpg-0.86.jpg
1625753236513- 结果：0.3445(T).jpg-0.49.jpg
1625753281816- 结果：0.900158(T).jpg-0.96.jpg
1625753342021- 结果：0.930663(T).jpg-0.67.jpg
1625753403055- 结果：0.440287(T).jpg-0.27.jpg
1625753432894- 结果：0.938716(T).jpg-0.88.jpg
1625753498938- 结果：0.969176(D).jpg-0.92.jpg
1625755793644- 结果：0.04798(T).jpg-0.0.jpg
1625755793698- 结果：0.057378(T).jpg-0.0.jpg
1625755794191- 结果：0.087921(D).jpg-0.0.jpg
1625755794251- 结果：0.062242(T).jpg-0.0.jpg
1625755794306- 结果：0.077502(T).jpg-0.01.jpg
1625755794580- 结果：0.092001(D).jpg-0.0.jpg
1625755794643- 结果：0.078906(T).jpg-0.0.jpg
1625755794697- 结果：0.041847(T).jpg-0.0.jpg
1625755794752- 结果：0.04056(T).jpg-0.0.jpg
1625755794806- 结果：0.061985(T).jpg-0.0.jpg
1625755795683- 结果：0.092386(D).jpg-0.0.jpg
1625755795742- 结果：0.071201(T).jpg-0.0.jpg
1625755795798- 结果：0.085124(T).jpg-0.0.jpg
1625755795852- 结果：0.085124(T).jpg-0.0.jpg
1625755795906- 结果：0.053044(T).jpg-0.0.jpg
1625755796673- 结果：0.055252(D).jpg-0.0.jpg
1625755796738- 结果：0.076296(T).jpg-0.0.jpg
1625755796792- 结果：0.062006(T).jpg-0.0.jpg
1625755796851- 结果：0.062006(T).jpg-0.0.jpg
1625755796905- 结果：0.059645(T).jpg-0.0.jpg
1625755797816- 结果：0.074854(D).jpg-0.0.jpg
1625755797875- 结果：0.093013(T).jpg-0.0.jpg
1625755797929- 结果：0.047176(T).jpg-0.0.jpg
1625755797982- 结果：0.047176(T).jpg-0.0.jpg
1625757037279- 结果：0.569732(T).jpg-0.74.jpg
1625757037333- 结果：0.432689(T).jpg-0.61.jpg
1625757037386- 结果：0.562726(T).jpg-0.56.jpg
1625757037439- 结果：0.4433(T).jpg-0.56.jpg
1625757055712- 结果：0.027811(D).jpg-0.0.jpg
1625757055766- 结果：0.001318(T).jpg-0.0.jpg
1625757055823- 结果：0.00167(T).jpg-0.0.jpg
1625757055878- 结果：0.00167(T).jpg-0.0.jpg
1625757055933- 结果：2.920000000E-4(T).jpg-0.0.jpg
1625757074240- 结果：0.656132(D).jpg-0.5.jpg
1625757074301- 结果：0.708124(T).jpg-0.44.jpg
1625757074354- 结果：0.776557(T).jpg-0.51.jpg
1625757074409- 结果：0.776557(T).jpg-0.48.jpg
1625757074464- 结果：0.90989(T).jpg-0.57.jpg
1625757092378- 结果：8.860000000E-4(D).jpg-0.01.jpg
1625757092434- 结果：0.002677(T).jpg-0.0.jpg
1625757092487- 结果：0.002561(T).jpg-0.0.jpg
1625757092541- 结果：0.00395(T).jpg-0.0.jpg
1625757092593- 结果：0.00395(T).jpg-0.0.jpg
1625757110621- 结果：0.589434(D).jpg-0.0.jpg
1625757110678- 结果：0.261987(T).jpg-0.0.jpg
1625757110731- 结果：0.659729(T).jpg-0.0.jpg
1625757110784- 结果：0.659729(T).jpg-0.01.jpg
1625758437668- 结果：0.051196(T).jpg-0.53.jpg
1625758437720- 结果：0.156484(T).jpg-0.52.jpg
1625758437770- 结果：0.129711(T).jpg-0.52.jpg
1625758437822- 结果：0.264463(T).jpg-0.75.jpg
1625758457376- 结果：0.974391(D).jpg-0.92.jpg
1625758457438- 结果：0.984547(T).jpg-0.84.jpg
1625758457492- 结果：0.99592(T).jpg-0.84.jpg
1625758457544- 结果：0.996519(T).jpg-0.78.jpg
1625758457601- 结果：0.996519(T).jpg-0.9.jpg
1625758477882- 结果：0.998647(D).jpg-1.0.jpg
1625758497491- 结果：0.494472(D).jpg-0.12.jpg
1625758497546- 结果：0.311959(T).jpg-0.12.jpg
1625758497598- 结果：0.229237(T).jpg-0.09.jpg
1625758497651- 结果：0.229237(T).jpg-0.05.jpg
1625758497703- 结果：0.219784(T).jpg-0.06.jpg
1625758516553- 结果：0.985353(D).jpg-0.54.jpg
1625758516605- 结果：0.565984(T).jpg-0.54.jpg
1625758516653- 结果：0.68449(T).jpg-0.71.jpg
1625758516704- 结果：0.68449(T).jpg-0.71.jpg
1625754062324- 结果：0.535203(T).jpg-0.12.jpg
1625754062379- 结果：0.535203(T).jpg-0.39.jpg
1625754062919- 结果：0.52967(D).jpg-0.06.jpg
1625754071457- 结果：0.793891(D).jpg-0.44.jpg
1625754071505- 结果：0.30288(T).jpg-0.49.jpg
1625754071552- 结果：0.30288(T).jpg-0.69.jpg
1625754071599- 结果：0.507178(T).jpg-0.69.jpg
1625754071648- 结果：0.578533(T).jpg-0.78.jpg
1625754087851- 结果：0.453335(D).jpg-0.6.jpg
1625754087915- 结果：0.283353(T).jpg-0.58.jpg
1625754087968- 结果：0.283353(T).jpg-0.51.jpg
1625754088021- 结果：0.202964(T).jpg-0.36.jpg
1625754088074- 结果：0.098492(T).jpg-0.3.jpg
1625754103494- 结果：0.004479(D).jpg-0.41.jpg
1625754103547- 结果：0.396824(T).jpg-0.46.jpg
1625754103598- 结果：0.423192(T).jpg-0.29.jpg
1625756055741- 结果：0.401592(T).jpg-0.41.jpg
1625756075492- 结果：0.794828(D).jpg-0.8.jpg
1625756075548- 结果：0.864058(T).jpg-0.92.jpg
1625756075604- 结果：0.887212(T).jpg-0.93.jpg
1625756075660- 结果：0.847669(T).jpg-0.96.jpg
1625756075715- 结果：0.835326(T).jpg-0.92.jpg
1625756091293- 结果：0.897824(D).jpg-0.89.jpg
1625756091349- 结果：0.845926(T).jpg-0.95.jpg
1625756091402- 结果：0.845926(T).jpg-0.94.jpg
1625756091456- 结果：0.866547(T).jpg-0.9.jpg
1625756091510- 结果：0.748497(T).jpg-0.9.jpg
1625756093449- 结果：0.591122(D).jpg-0.56.jpg
1625756093505- 结果：0.721487(T).jpg-0.56.jpg
1625756093560- 结果：0.685689(T).jpg-0.61.jpg
1625756093613- 结果：0.685689(T).jpg-0.55.jpg
1625756093667- 结果：0.637544(T).jpg-0.55.jpg
1625756094526- 结果：0.694559(D).jpg-0.52.jpg
1625756094584- 结果：0.661869(T).jpg-0.5.jpg
1625756094636- 结果：0.653539(T).jpg-0.5.jpg
1625756094692- 结果：0.693298(T).jpg-0.58.jpg
1625756094745- 结果：0.693298(T).jpg-0.55.jpg
1625756095074- 结果：0.653943(D).jpg-0.58.jpg
1625752551196- 结果：0.857726(T).jpg-0.34.jpg
